child,parent,level,name
0,0,0,"United States"
1000,0,1,Alabama
2000,0,1,Alaska
4000,0,1,Arizona
5000,0,1,Arkansas
6000,0,1,California
8000,0,1,Colorado
9000,0,1,Connecticut
10000,0,1,Delaware
11000,0,1,"District of Columbia"
12000,0,1,Florida
13000,0,1,Georgia
15000,0,1,Hawaii
16000,0,1,Idaho
17000,0,1,Illinois
18000,0,1,Indiana
19000,0,1,Iowa
20000,0,1,Kansas
21000,0,1,Kentucky
22000,0,1,Louisiana
23000,0,1,Maine
24000,0,1,Maryland
25000,0,1,Massachusetts
26000,0,1,Michigan
27000,0,1,Minnesota
28000,0,1,Mississippi
29000,0,1,Missouri
30000,0,1,Montana
31000,0,1,Nebraska
32000,0,1,Nevada
33000,0,1,"New Hampshire"
34000,0,1,"New Jersey"
35000,0,1,"New Mexico"
36000,0,1,"New York"
37000,0,1,"North Carolina"
38000,0,1,"North Dakota"
39000,0,1,Ohio
40000,0,1,Oklahoma
41000,0,1,Oregon
42000,0,1,Pennsylvania
44000,0,1,"Rhode Island"
45000,0,1,"South Carolina"
46000,0,1,"South Dakota"
47000,0,1,Tennessee
48000,0,1,Texas
49000,0,1,Utah
50000,0,1,Vermont
51000,0,1,Virginia
53000,0,1,Washington
54000,0,1,"West Virginia"
55000,0,1,Wisconsin
56000,0,1,Wyoming
1001,1000,2,Autauga
1003,1000,2,Baldwin
1005,1000,2,Barbour
1007,1000,2,Bibb
1009,1000,2,Blount
1011,1000,2,Bullock
1013,1000,2,Butler
1015,1000,2,Calhoun
1017,1000,2,Chambers
1019,1000,2,Cherokee
1021,1000,2,Chilton
1023,1000,2,Choctaw
1025,1000,2,Clarke
1027,1000,2,Clay
1029,1000,2,Cleburne
1031,1000,2,Coffee
1033,1000,2,Colbert
1035,1000,2,Conecuh
1037,1000,2,Coosa
1039,1000,2,Covington
1041,1000,2,Crenshaw
1043,1000,2,Cullman
1045,1000,2,Dale
1047,1000,2,Dallas
1049,1000,2,DeKalb
1051,1000,2,Elmore
1053,1000,2,Escambia
1055,1000,2,Etowah
1057,1000,2,Fayette
1059,1000,2,Franklin
1061,1000,2,Geneva
1063,1000,2,Greene
1065,1000,2,Hale
1067,1000,2,Henry
1069,1000,2,Houston
1071,1000,2,Jackson
